Id,Name,Updated at,Completed?,Accessible,Bench,Curb cut,Lighting,Mounting,Mounting direction,Schedule holder,Shelter,Sidewalk,Sign,Trash,Bolt on base,Bus pull out exists?,Extend pole?,Has power?,New anchor?,New pole?,Solar lighting?,Straighten pole?,System map exists?,Mounting clearance after,Mounting clearance before,Created at,Updated at,Completed?,Completed at
1709,Hall Drive,2017-03-07 16:37:10 -0500,true,Not recommended,"",No curb,"",PVTA pole,Away from street,"","",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-07 16:37:10 -0500,true,2017-03-07 16:37:10 -0500
1905,Integrative Learning Center,2017-08-01 10:43:29 -0400,true,When necessary,Other,Within 20',Within 20',PVTA pole,Towards street,"",Building,"More than 36""",Flag stop,Other,false,true,false,false,false,true,false,false,false,"",84,"",2017-08-01 10:43:29 -0400,true,2017-08-01 10:43:29 -0400
2135,Logtown Road (In),"",false,"","",No curb,None,PVTA pole,Away from street,"","",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","","",false,""
2137,Logtown Road (Out),2017-03-07 16:39:11 -0500,true,Not recommended,"",No curb,None,PVTA pole,Away from street,"","",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-07 16:39:11 -0500,true,2017-03-07 16:39:11 -0500
2845,Morrill Science Center,2017-03-08 07:41:00 -0500,false,"",Other,No curb cut,Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""",Needs attention,Other,false,true,false,true,false,false,false,false,false,"","","",2017-03-08 07:41:00 -0500,false,""
2861,Mullins Center (N),2017-03-08 09:58:59 -0500,false,When necessary,Other,No curb cut,Within 20',PVTA pole,"",On pole,Other,"More than 36""",Needs attention,Other,false,true,false,false,false,false,false,false,false,"",69,"",2017-03-08 09:58:59 -0500,false,""
2925,North Village,2017-08-01 10:47:30 -0400,true,When necessary,"",Within 20',Within 20',"","","",PVTA,"More than 36""",Missing sign,"",false,true,false,false,true,true,false,false,false,84,"","",2017-08-01 10:47:30 -0400,true,2017-08-01 10:47:30 -0400
3013,Old Belchertown Road,"",false,"","",No curb cut,None,PVTA pole,"",On pole,"",None,"","","",false,false,false,false,false,false,false,false,"","","","",false,""
3015,Old Belchertown Road (Out),"",false,Not recommended,"",Within 20',"",PVTA pole,Away from street,"","",None,Flag stop,"",false,true,false,false,true,true,false,false,false,84,"","","",false,""
3017,Old Belchertown Road 2,2017-03-07 16:35:48 -0500,true,Not recommended,"",No curb cut,None,PVTA pole,Away from street,On pole,"",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-07 16:35:48 -0500,true,2017-03-07 16:35:48 -0500
3373,Pray Street (In),"",false,"","",Within 20',Within 20',PVTA pole,"",On pole,PVTA,"More than 36""","",Municipal,"",false,false,false,false,false,false,false,false,"","","","",false,""
3375,Pray Street (Out),2017-03-24 10:13:54 -0400,false,When necessary,"",No curb cut,"",PVTA pole,"",On pole,PVTA,"More than 36""",Needs attention,Municipal,false,false,false,false,false,false,true,false,false,"","","",2017-03-24 10:13:54 -0400,false,""
3395,Puffton Village 1,2017-03-08 08:56:47 -0500,false,When necessary,"",No curb,Within 20',"","","",Other,"More than 36""",Missing sign,"",false,false,false,false,false,false,false,false,false,"","","",2017-03-08 08:56:47 -0500,false,""
3397,Puffton Village 2,2017-03-08 08:58:14 -0500,true,When necessary,"",Within 20',Within 20',PVTA pole,Away from street,On pole,"",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-08 08:58:14 -0500,true,2017-03-07 16:38:53 -0500
3499,Rolling Green (In),2017-03-07 16:40:48 -0500,true,When necessary,"",No curb cut,Within 20',PVTA pole,Away from street,On pole,"","More than 36""",Flag stop,"",false,true,false,false,true,true,false,false,false,84,"","",2017-03-07 16:40:48 -0500,true,2017-03-07 16:40:48 -0500
3501,Rolling Green (Out),2017-03-07 16:41:39 -0500,true,When necessary,"",Within 20',Within 20',PVTA pole,Away from street,"","","More than 36""",Flag stop,Municipal,false,false,false,false,true,true,false,false,false,84,"","",2017-03-07 16:41:39 -0500,true,2017-03-07 16:41:39 -0500
3689,School of Education,2017-03-08 07:40:03 -0500,false,"","",No curb cut,20' - 50',PVTA pole,"",On pole,"","More than 36""",Needs attention,"",false,true,false,false,false,false,false,false,false,"","","",2017-03-08 07:40:03 -0500,false,""
4145,Studio Arts Building,2017-03-08 07:27:37 -0500,false,"",Other,Within 20',Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""",Missing sign,Other,false,true,false,false,false,false,false,false,false,"","","",2017-03-08 07:27:37 -0500,false,""
4401,Valley Medical,"",false,"",Other,No curb,None,PVTA pole,"","","","More than 36""","","","",false,false,false,false,false,false,false,false,"","","","",false,""
4655,WFCR,2017-03-08 09:55:43 -0500,false,When necessary,"",Within 20',Within 20',PVTA pole,"",On pole,"","More than 36""",Needs attention,"",false,true,false,false,false,false,false,false,false,"",62,"",2017-03-08 09:55:43 -0500,false,""
109,Amherst Common (N),"",false,"",Other,No curb cut,20' - 50',PVTA pole,"",On pole,PVTA,"More than 36""","",Municipal,"",false,false,false,false,false,false,false,false,"","","","",false,""
111,Amherst Common (S),2017-03-24 10:14:57 -0400,false,When necessary,Other,Within 20',Within 20',PVTA pole,"","",PVTA,"More than 36""",Missing sign,Municipal,false,false,false,false,false,false,true,false,false,"","","",2017-03-24 10:14:57 -0400,false,""
125,Amherst Post Office,"",false,"",PVTA,Within 20',Within 20',Other pole,"",In shelter,PVTA,"More than 36""","",Municipal,"",false,false,false,false,false,false,false,false,"","","","",false,""
161,Arnold House,2017-03-08 07:40:33 -0500,false,"",Other,Within 20',Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""",Missing sign,Other,false,true,false,false,false,false,false,false,false,"","","",2017-03-08 07:40:33 -0500,false,""
171,Bagdon Farm,2017-03-22 15:13:58 -0400,true,Not recommended,"",No curb,None,PVTA pole,Away from street,"","",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-22 15:13:58 -0400,true,2017-03-22 15:13:58 -0400
